"id","en","fr","es","ru","zh","de","bn","fa"
"login_insert_pwd","Insert the single usage password","Entrez le mot de passe à usage unique","","","","","","رمز عبور را وارد نمایید"
"login_out","Log out","Quitter","","","","","","خروج"
"login_role","Role","Role","","","","","","نقش"
"login_send_pwd","Send","Envoyer","","","","","","ارسال"
"login_subtitle","Please enter your email to receive a single usage secure password.. ","Veuillez entrer votre adresse email pour recevoir un mot de passe sécurisé,  à usage unique.","","","","","","لطفا آدرس الکترونیکی خود را جهت دریافت رمز عبور وارد نمایید"
"login_title","Log in","Identification ","","","","","","ورود"
"more","More","Plus","","","","","","بیشتر"
"noAbstract","[ Abstract missing ]","[ Résumé manquant ]","","","","","","فاقد خلاصه"
"noData","[ Missing value ]","[ Donnée manquante ]","","","","","","فاقد قیمت"
"noFilter","[ No filter ]","[ Sans filtre ]","","","","","","عدم موجودیت فلتر"
"noLayer","[ No source layer ]","[ Pas de couche source ]","","","","","","فاقد لایه منبع"
"none","None","Aucun","","","","","","هیچکدام"
"noSelect","[ Empty selection ]","[ Sélection vide ]","","","","","","فاقد انتخاب "
"noTitle","[ Title missing ]","[ Titre manquant ]","","","","","","فاقد عنوان"
"noVariable","[ Missing value ]","[ Donnée manquante ]","","","","","","فاقد قیمت"
"noView","[ No view available ]","[ Pas de vue disponible ]","","","","","","نمایش در دسترس نیست "
"nrg","Energy","Energie","","","","","","انرژی"
"old_add_view","Add a new view","Ajouter une vue","","","","","","افزودن نمای جدید"
"oth","Other","Autre","","","","","","سایر"
"point","Point","Point","","","","","","نقطه"
"pol","Politics","Politique","","","","","","سیاست"
"polygon","Polygon","Polygone","","","","","","چند ضلعی"
"public","Everyone","Tout le monde","","","","","","همه"
"publish","Publish","Publier","","","","","","نشر"
"publisher","Publisher","Editeur","","","","","","ناشران"
"right","Right","Droite","","","","","","راست"
"rt","Raster tiles","Tuiles raster","","","","","","تایل راستری"
"sat","Satellite imagery","Imagerie satellite","","","","","","تصویر ستلایتی"
"save","Save","Sauvegarder","","","","","","ذخیره"
"schema_class","Class","Classe","","","","","","صنف"
"schema_color","Color","Couleur","","","","","","رنگ "
"schema_description","Description","Description","","","","","","توضیحات"
"schema_item","Item","Objet","","","","","","بخش"
"schema_key","Key","Clé","","","","","","کلید"
"schema_label","Label","Etiquette","","","","","","لیبل"
"schema_last_rule","Last rule","Dern. règle","","","","","","قانون آخر"
"schema_metadata","Meta data","Meta données","","","","","","ابرداده"
"schema_method","Method","Méthode","","","","","","روش"
"schema_opacity","Opacity","Opacité","","","","","","مکدریت"
"schema_rule","Rule","Règle","","","","","","قانون"
"schema_rules","Rules","Règles","","","","","","قوانین"
"schema_size","Size","Taille","","","","","","اندازه"
"schema_sprite","Symbol","Symbole","","","","","","سمبول"
"schema_story_author","Author of the story","Auteur du récit","","","","","","مولف داستان"
"schema_story_map_pos","Position of the map","Position de la carte","","","","","","موقعیت نقشه"
"schema_story_meta","Metadata","Métadonées","","","","","","ابرداده"
"schema_story_org","Organisation name","Nom de l’organisation","","","","","","نام سازمان"
"schema_story_pos_get","Update using current map parameters","Mettre à jour avec les paramètres actuels de la carte","","","","","","تجدید با استفاده از پارامتر های موجود"
"schema_story_slide","Slide","Slide","","","","","","رانش"
"schema_story_slide_color"," Color theme"," Thème","","","","","","رنگ موضوع"
"schema_story_slide_color_bg","Background color","Couleur de l'arrière plan","","","","","","رنگ پس زمینه"
"schema_story_slide_color_fg","Text color","Couleur du texte","","","","","","رنگ متن"
"schema_story_slide_config","Configuration","Configuration","","","","","","عیار سازی"
"schema_story_slide_layout"," Content layout"," Disposition du contenu","","","","","","طراحی محتوا"
"schema_story_slide_opacity_bg","Background opacity","Opacité de l'arrière plan","","","","","","مکدریت پس زمینه"
"schema_story_slide_pos_z"," Depth (z axis)"," Profondeur (axe z)","","","","","","عمق (محور z)"
"schema_story_slide_speed","Speed ratio","Vitesse de défilement","","","","","","تناسب سرعت"
"schema_story_slides","Slides","Slides","","","","","","رانش ها"
"schema_story_step ","Step","Étape","","","","","","مرحله"
"schema_story_step_content","Content","Contenu","","","","","","محتویات"
"schema_story_step_title","Title ","Titre","","","","","","عنوان"
"schema_story_steps","Steps","Étapes","","","","","","مراحل"
"schema_story_steps_title","Steps of the story","Étapes du récit","","","","","","مرحله از تاریخ"
"schema_story_text_pos","Text position","Position du texte","","","","","","موقعیت متن"
"schema_story_title","Story","Récit","","","","","","داستان"
"schema_value","Value","Valeur","","","","","","قیمت"
"schema_value","Value","Valeur","","","","","","قیمت"
"schema_value","Value","Valeur","","","","","","قیمت"
"schema_value","Value","Valeur","","","","","","قیمت"
"self","Myself","Moi même","","","","","","بنده"
"sm","Story","Récit","","","","","","تاریخچه"
"soc","Social","Social","","","","","","اجتماعی"
"source_meta_data","Metadata for the source","Métadonnées de la source","","","","","","عناوین برای منابع"
"source_raster_tile_size","Size of the tiles (pixels)","Taille des tuiles (pixels)","","","","","","اندازه پکسل ها"
"source_raster_tile_url","Url of tiles endpoint ","Url du serveur de tuiles","","","","","","آدرس پکسل های آخری"
"source_select_geometry","Source geometry type","Type de géométrie","","","","","","انواع منبع هندسی"
"source_select_layer","Source layer","Couche source","","","","","","لایه اصلی"
"source_select_layer_mask","Source layer mask","Couche source masque","","","","","","منبع لایه ماسک"
"source_select_variable","Source variable","Variable","","","","","","متحول اصلی"
"source_sum_geom_type","Type of the geometry","Type de géométrie","","","","","","انواع هندسی"
"source_sum_n_distinct","Number of distinct values","Nombre de valeurs distinctes","","","","","","تعداد  قیمت های متمایز"
"source_sum_n_null","Number of missing or null values","Nombre de valeurs manquantes ou nulles","","","","","","تعداد  قیمت های از دست رفته یا خالی"
"source_sum_n_row","Number of values","Nombre de valeurs  ","","","","","","تعداد قیمت ها"
"source_sum_sample","Sample values","Echantillon de valeurs","","","","","","مقادیر نمونه"
"source_sum_title","Variable summary","Résumé des valeurs","","","","","","خلاصه متحول "
"source_sum_variable_type","Type of the variable","Type de la variable","","","","","","انواع متحول"
"source_summary_check","Show variable summary","Afficher le résumé de la variable","","","","","","نمایش خلاصه متحول"
"source_time_range","Time range","Etendue temporelle","","","","","","محدوده زمانی"
"source_title","Source title","Titre de la source","","","","","","عنوان اصلی"
"str","Stress","Stress","","","","","","فشار"
"superuser","Superuser","Super-utilisateur","","","","","","ابر کاربران"
"title_app","Map-x","Map-x","","","","","","MAP-X"
"title_settings","Settings","Préférences","Preferencias","","","","","تنظیمات"
"title_tools","Tools","Outils","Utilidades","","","","","ابزار"
"title_tools_map","Map","Carte","","","","","","نقشه"
"title_tools_qgis","Qgis connection info","Information de connection depuis qgis","","","","","","معلومات اتصال با Qgis"
"title_tools_sources","Sources","Sources","","","","","","منابع"
"title_tools_views","Views","Vues","","","","","","نمایش"
"title_views","Views","Vues","Vistas","","","","","نمایش"
"top","Top","En haut","","","","","","بالا"
"ui_country","Select country","Sélectionnez le pays","","","","","","انتخاب کشور"
"ui_language","Language of the interface","Langue de l'interface","Idioma de la interfaz.","Язык интерфейса.","界面语言。","Sprache für das Interface.","ইন্টারফেস ভাষা","زبان رابط"
"update_view_list","Update view list","Mise à jour de la liste des vues","","","","","","تجدید لست نمایش"
"user","Registered user","Utilisateur enregistré","","","","","","کاربران ثبت شده"
"view","View","Vue","","","","","","نمایش"
"view_abstract","View abstract","Résumé de la vue","","","","","","نمایش خلاصه"
"view_add_overlap_layer","Add a mask","Ajouter un masque","","","","","","افزودن نقاب"
"view_country","Country of the view","Pays de la vue","","","","","",""
"view_countries","Other countries where the view is visible","Autres pays où la vue est visible","","","","","",""
"view_classes","Classes","Classes","","","","","","طبقه ها"
"view_delete_confirm","Click on the confirm button to delete this view, its history and all translations.","Cliquer sur le button de confirmation pour supprimer cette vue, ainsi que son historique et toutes les traductions.","","","","","","بالای کلید تایید کلیک نمایید تا این نمایش، تاریخچه اش و تمام ترجمه هایش حذف گردد."
"view_download_layer","Download the source layer","Télécharger la couche source","","","","","","دانلود لایه منبع "
"view_id","View identifier","Identifiant de la vue","","","","","","نمایش مشخص کننده"
"view_new_created","View created","Vue créée","","","","","","نمایه ایجاد شد"
"view_new_text","Create a new View","Créer une vue","","","","","","ایجاد نمای جدید و افزودن آن به لست "
"view_no_layer_found","No source layer found","Pas de couche source trouvée.","","","","",""," لایه منبع یافت نشد"
"view_num_overlap","Number of overlaps","Nombre de chevauchements","","","","","","تعداد لایه های روی هم قرار گرفته"
"view_search_input","Search view","Rechercher une vue","","","","",""," جستجوی نمایه"
"view_search_values","Search values","Rechercher des valeurs","","","","",""," جستجوی ارقام"
"view_show_abstract_languages","Show other languages abstract","Afficher le résumé dans les autres langues","","","","","","نمایش خلاصه به سایر زبانها"
"view_show_title_languages","Show other languages titles","Afficher le titre dans les autres langues","","","","","","نمایش عناوین به سایر زبانها"
"view_target","Target group. Who can view this.","Groupe cible. Qui peut voir cette vue.","","","","","","گروه مورد نظر، کی دیده میتواند"
"view_text","View text"," Texte de la vue","","","","","","نمایش متن "
"view_title","View title","Titre de la vue","","","","","","نمایش عنوان"
"view_edit_current","Edit view","Edition de la vue","","","","","",""
"view_type_select","Type of the view","Type de la vue","","","","","","نوع نما"
"vt","Vector tiles","Tuiles vectorielles","","","","","","تایل ویکتوری"
"wms","Web Map Service (wms)","Web Map Service (wms)","","","","","","خدمات آنلاین نقشه (WMS)"
